devices/device_type,devices/device_id,AIRCRAFT_MODEL,REGISTRATION,CN,devices/tracked,devices/identified,devices/aircraft_type,COUNTRY
I,4B4390,Robinson R22,HB-ZPG,ALP,Y,Y,4,Switzerland
I,4B43EF,Robinson R44,HB-ZSX,ALP,Y,Y,4,Switzerland
I,4B4253,Robinson R22,HB-ZDB,ALP,Y,Y,4,Switzerland
F,DF08B3,DG-1000,D-0804,ALS,Y,Y,1,Germany
O,746E18,Alto 912 TG ,OK-UUR06,ALT,Y,Y,3,Czech Republic
I,484E02,Pilatus B4,PH-514,ALU,Y,Y,1,Netherlands
F,DDEB73,LS-8,D-2365,ALV,Y,Y,1,Germany
F,DD87B8,Marianne,OM-3737,AM,Y,Y,1,Slovakia
I,3E5BF9,ASH-31 MI,D-KAAJ,AM,Y,Y,1,Germany
F,DD9D29,DG-300,D-6605,AM,Y,Y,1,Germany
F,D00179,LS-3,D-2810,AM,Y,Y,1,Germany
F,D00569,Cirrus Std,OM-2000,AM,Y,Y,1,Slovakia
F,D02159,Arcus M,OH-1018,AM,Y,Y,1,Unknown
F,DDAD1B,LS-4,D-1290,AM,Y,Y,1,Germany
F,D00BDE,Arcus T,D-KQAM,AM,Y,Y,1,Germany
F,DDD554,ASK-13,F-CLAM,AM,Y,Y,1,France
F,DDB100,ASK-13,F-CEAM,AM,Y,Y,1,France
F,DDE477,Nimbus 2,G-DEAM,AM,Y,Y,1,United Kingdom
F,3EC398,EB 29,D-KPAM,AM,Y,Y,1,Germany
F,DDA69E,ASW-20,D-1575,AM,Y,Y,1,Germany
F,D00621,EC 135,OE-XVT,AM,Y,Y,4,Austria
F,DDB0C1,L-Spatz 55,OK-1421,AM,Y,Y,1,Czech Republic
F,DDEE85,Nimbus 4DM,D-KHAM,AM,Y,Y,1,Germany
O,28455E,LS-3,D-2810,AM,Y,Y,1,Germany
F,DDED33,ASH-26 E,G-KEAM,AM,Y,Y,1,United Kingdom
I,45B701,Arcus M,OY-MXA,AM,Y,Y,1,Denmark
I,4B5090,ASH-25,HB-3049,AM,Y,Y,1,Switzerland
F,D02C95,ASH-31 MI,D-KTAM,AM,Y,Y,1,Germany
F,DDEA36,ASH-31 MI,D-KTAM,AM,Y,Y,1,Germany
F,DD83F8,ASK-21,F-CHAM,AM,Y,Y,1,France
F,DDD4F6,Pegase,F-CHDM,AM,Y,Y,1,France
F,DDC204,ASK-21,LN-GAM,AM,Y,Y,1,Norway
F,F91673,LS-4,D-8513,AM1,Y,Y,1,Germany
F,DDA419,DG-400,D-KDPI,AM1,Y,Y,1,Germany
F,F65958,LS-4,D-8513,AM1,Y,Y,1,Germany
F,DDAD0E,DG-200,OK-5240,AM1,Y,Y,1,Czech Republic
F,DDA337,LS-4 W,D-8513,AM1,Y,Y,1,Germany
I,A6AF1F,LS-3,N53LS,AM2,Y,Y,1,United States
F,DDB0CB,SF-27,D-KAMG,AMG,Y,Y,1,Germany
F,DDE7F2,Mistral C,D-4951,AMH,Y,Y,1,Germany
F,DD8709,DG-300,D-0359,AMH,Y,Y,1,Germany
I,3E5E4B,ASW-28 18,D-KAXF,AMH,Y,Y,1,Germany
I,3D1E29,DR-400,D-EJRD,AMH,Y,Y,2,Germany
I,3D1227,PA-25 Pawnee,D-EFCX,AMH,Y,Y,2,Germany
I,3D1228,PA-18 Super Cub,D-EFCY,AMH,Y,Y,2,Germany
F,DD8708,SZD-51 Junior,D-1022,AMH,Y,Y,1,Germany
F,DD8415,ASK-21,D-5711,AMH,Y,Y,1,Germany
F,DDFD44,Janus CT,D-KAXO,AMH,Y,Y,1,Germany
I,3E5E46,ASK-16,D-KAXA,AMH,Y,Y,1,Germany
I,3EF8A2,ASK-21,D-6155,AMH,Y,Y,1,Germany
I,3E5E47,HK36 Super Dimona,D-KAXB,AMH,Y,Y,1,Germany
F,DD9B46,PA-25 Pawnee,D-EFCX,AMH,Y,Y,2,Germany
I,111101,Ka-6 cr,D-9039,AMH,Y,Y,1,Germany
I,3D0972,Aquila A210,D-EBVE,AMH,Y,Y,2,Germany
F,4AE10D,Piper J-3 Cub,SE-AMK,AMK,Y,Y,2,Sweden
F,F79473,Discus t,PH-1184,AN,Y,Y,1,Netherlands
I,3D1C79,TB-10 Tobago,D-EJAN,AN,Y,Y,2,Germany
F,DDEFC9,LS-1 c,OK-0383,AN,Y,Y,1,Czech Republic
F,D009C8,SF-25,G-KRAN,AN,Y,Y,1,United Kingdom
F,D00FDC,Astir CS,F-CIAN,AN,Y,Y,1,France
F,3EEE1A,LS-4,D-3459,AN,Y,Y,1,Germany
F,484DF3,Discus t,PH-1184,AN,Y,Y,1,Netherlands
F,D01615,Glasflugel 304,OK-1962,AN,Y,Y,1,Czech Republic
O,DDD244,LS-3,SP-4395,AN,Y,Y,1,Poland
F,DD9A4D,Janus Ce,F-CJAN,AN,Y,Y,1,France
F,DD9BE2,ASK-21,F-CHAN,AN,Y,Y,1,France
I,3E5DB6,DG-1000 T,D-KARM,AN,Y,Y,1,Germany
F,4BCDFA,Duo Discus xlt,D-KSAN,AN,Y,Y,1,Germany
F,3C65D6,Duo Discus xlt,D-KSAN,AN,Y,Y,1,Germany
F,DF1708,Duo Discus xlt,D-KSAN,AN,Y,Y,1,Germany
F,DDEB4D,Duo Discus xlt,D-KSAN,AN,Y,Y,1,Germany
I,407738,SF-25,G-KRAN,AN,Y,Y,1,United Kingdom
I,505DB8,Antonov 2,OM-ANA,ANA,Y,Y,2,Slovakia
F,DDA2BD,LS-4,OE-5571,ANY,Y,Y,1,Austria
F,DDD36F,Duo Discus t,LN-GAO,AO,Y,Y,1,Norway
F,DDD85F,Ka-8,OO-ZAO,AO,Y,Y,1,Belgium
F,DDB185,Zodiac CH601XL,D-MAAO,AO,Y,Y,3,Germany
I,A31B7C,Nimbus 2,N3JV,AO,Y,Y,1,United States
F,DDC349,Ventus 2cM,D-KADO,AO,Y,Y,1,Germany
F,DDA2C8,DG-303,D-5190,AO,Y,Y,1,Germany
F,DDA315,Mini Nimbus,D-6672,AO,Y,Y,1,Germany
F,F84190,SZD-9 Bocian,SP-2756,AOS,Y,Y,1,Poland
F,DD50F6,LS-4,D-5286,AP,Y,Y,1,Germany
F,DD94D5,LS-4,D-1137,AP,Y,Y,1,Germany
F,D006BB,ASG-32 MI,D-KHAP,AP,Y,Y,1,Germany
F,DD9845,ASW-15,OM-2400,AP,Y,Y,1,Slovakia
F,3E7667,ASH-26 E,D-KKAP,AP,Y,Y,1,Germany
F,DD8C25,Piccolo B,D-MLAP,AP,Y,Y,3,Germany
F,404F54,ASW-28t,G-CKJV,AP,Y,Y,1,United Kingdom
F,DDDC28,Astir CS-77,OK-4187,AP,Y,Y,1,Czech Republic
F,DD5061,HPH 304C,D-4167,AP,Y,Y,1,Germany
I,4A9430,Cessna 172,SE-EAP,AP,Y,Y,2,Sweden
F,DDABA8,ASW-15,D-0747,AP,Y,Y,1,Germany
O,23AF50,SZD-55,LY-IAP,AP,Y,Y,1,Lithuania
F,DDBB13,Ventus c,D-6568,AP,Y,Y,1,Germany
F,DDA68F,Tecnam  P2002 JF,D-EIAP,AP,Y,Y,2,Germany
F,DDD89B,ASW-20,F-CIAP,AP,Y,Y,1,France
F,DD981C,SZD-55,LY-IAP,AP,Y,Y,1,Lithuania
F,DD17E9,ASW-24,D-4019,AP,Y,Y,1,Germany
F,DDBC0C,Discus t,D-KRAP,AP,Y,Y,1,Germany
F,D001B4,ASG-32 MI,D-KVDP,AP,Y,Y,1,Germany
F,DDECDA,Carat,D-KFAP,AP,Y,Y,1,Germany
F,D009DC,Ventus c,D-6568,AP,Y,Y,1,Germany
F,DF12EE,LS-7,D-5792,AP,Y,Y,1,Germany
F,DD92BE,SB-5 e,D-4236,AP,Y,Y,1,Germany
I,408232,EuroFox,G-CNAP,AP,Y,Y,3,United Kingdom
F,DDDBFC,ASH-25,F-CHAP,AP,Y,Y,1,France
F,DD8100,ASK-13,F-CEAP,AP,Y,Y,1,France
F,DDEF6B,LS-6,SP-4509,AP,Y,Y,1,Poland
F,DF2071,DG-808 C,D-KNCB,AP,Y,Y,1,Germany
F,DDC164,ASK-13,OO-YAP,AP,Y,Y,1,Belgium
F,47C2B7,ASW-28 18,LN-GKD,AP1,Y,Y,1,Norway
O,445970,Cessna 172,C-172F,AP1,Y,Y,2,Canada
O,172383,Cessna 172,C-172P,AP2,Y,Y,2,Canada
F,DD9F20,PA-18 Super Cub,OE-APE,APE,Y,Y,2,Austria
I,4408EF,PA-18 Super Cub,OE-APE,APE,Y,Y,2,Austria
O,3AB85A,PA-28,HA-APK,APK,Y,Y,2,Hungary
O,07AD15,PA-28,HA-APK,APK,Y,Y,2,Hungary
I,C0463D,PA-28,C-GAPO,APO,Y,Y,2,Canada
I,C0463E,Zlin 50,C-GAPP,APP,Y,Y,2,Canada
O,396E5C,Gyrocopter,F-JAPR,APR,Y,Y,3,France
I,C04641,Cessna 172,C-GAPS,APS,Y,Y,2,Canada
F,DDED56,JS-1 Revelation,D-KAPU,APU,Y,Y,1,Germany
F,4B50DE,LS-6,HB-3127,AQ,Y,Y,1,Switzerland
F,DD8724,SF-25,D-KGAQ,AQ,Y,Y,1,Germany
F,DD88E6,ASH-25,F-CRAQ,AQ,Y,Y,1,France
O,DDC253,Ka-8,LN-GAQ,AQ,Y,Y,1,Norway
F,DDE2E1,DG-300,OY-SLX,AR,Y,Y,1,Denmark
F,3EDE05,ASH-26 E,D-KZAR,AR,Y,Y,1,Germany
F,DD862D,Twin Astir II,OE-5177,AR,Y,Y,1,Austria
F,DDA619,ASK-21,D-4436,AR,Y,Y,1,Germany
F,DDA4B6,Mini Nimbus,OH-1022,AR,Y,Y,1,Unknown
F,33858D,LS-1 f,D-2771,AR,Y,Y,1,Germany
F,D004A7,Cirrus Std,OK-0976,AR,Y,Y,1,Czech Republic
F,DD8750,LS-8,D-2943,AR,Y,Y,1,Germany
F,DDAFA2,Husky A-1,D-EZAR,AR,Y,Y,2,Germany
F,D00CA6,Ventus 2cxM,D-KSAR,AR,Y,Y,1,Germany
F,DDDA89,Janus C,F-CFAR,AR,Y,Y,1,France
F,D0050B,ASG-32 MI,D-KARI,AR,Y,Y,1,Germany
F,DDB06F,Ka-6 e,D-4716,AR,Y,Y,1,Germany
F,4B4E9F,ASH-31 MI,HB-2552,AR,Y,Y,1,Switzerland
F,D028E9,Arcus M,OK-2969,AR,Y,Y,1,Czech Republic
F,DD83E5,Twin Astir III,D-6276,AR,Y,Y,1,Germany
I,3EEC16,LS-8,D-2943,AR,Y,Y,1,Germany
F,DD0029,ASH-25,D-4638,AR,Y,Y,1,Germany
I,465BCE,Mini Nimbus,OH-1022,AR,Y,Y,1,Unknown
I,402706,Motorglider,G-CHAR,AR,Y,Y,1,United Kingdom
F,D01F93,ASG-29E,LY-VAR,AR,Y,Y,1,Lithuania
F,DDB630,LS-8,D-2944,AR,Y,Y,1,Germany
F,406968,Arcus M,G-SMAR,AR,Y,Y,1,United Kingdom
F,DD9BDA,SF-25,D-KGAR,AR,Y,Y,1,Germany
F,DD98F1,Astir Jeans,F-CZAR,AR,Y,Y,1,France
I,4B4A9F,ASH-31 MI,HB-2552,AR,Y,Y,1,Switzerland
I,440996,BK 117,OE-XRE,ARA,Y,Y,4,Austria
I,3E5DAC,Arcus T,D-KARC,ARC,Y,Y,1,Germany
I,4851DC,Arcus T,PH-1555,ARC,Y,Y,1,Netherlands
I,A9F29A,Arcus T,N740AR,ARC,Y,Y,1,United States
F,D02140,Arcus T,PH-1555,ARC,Y,Y,1,Netherlands
F,3EC9D8,Arcus M,D-KRKA,ARK,Y,Y,1,Germany
F,003022,Arcus M,D-KRKA,ARK,Y,Y,1,Germany
F,DDA7B1,SZD-30 Pirat,D-2721,ARR,Y,Y,1,Germany
F,DF019A,IS-29D2,C-GARS,ARS,Y,Y,1,Canada
F,DD147D,ASW-24,HB-2315,AS,Y,Y,1,Switzerland
I,A1293A,Glasflugel H301,N174NE,AS,Y,Y,1,United States
F,DDECD5,ASH-25 MI,D-KRAS,AS,Y,Y,1,Germany
F,DDDEB5,ASW-24,HB-2315,AS,Y,Y,1,Switzerland
F,DD89C8,DG-300,I-AVAS,AS,Y,Y,1,Italy
F,DD8ECB,ASK-13,F-CPAS,AS,Y,Y,1,France
F,A1BA8D,LS-10,N210LS,AS,Y,Y,1,United States
F,DDE5AE,ASW-20,SE-UUO,AS,Y,Y,1,Sweden
F,523305,Calif A21S,N72312,AS,Y,Y,1,United States
F,3E63EE,Ventus ct,D-KDAS,AS,Y,Y,1,Germany
F,DDAD01,SZD-48-3 Jantar Std 3,SP-3817,AS,Y,Y,1,Poland
F,DD9E4D,LS-4,D-0415,AS,Y,Y,1,Germany
F,DDEFBE,Ventus 2cM,D-KGBS,AS,Y,Y,1,Germany
F,405597,Slingsby Vega 15m,G-VEGA,AS,Y,Y,1,United Kingdom
F,DD9E9A,Pegase,F-CHLO,AS,Y,Y,1,France
F,DDC2F3,ASK-13,F-CLAS,AS,Y,Y,1,France
I,4B4E8D,JS-3 18M,HB-2534,AS,Y,Y,1,Switzerland
F,DD87B1,ASW-20,D-2372,AS,Y,Y,1,Germany
F,4B5077,ASW-24,HB-3024,AS,Y,Y,1,Switzerland
F,DD8540,SZD-32 Foka 5,D-4261,AS,Y,Y,1,Germany
F,DD8224,LS-4,D-5986,AS,Y,Y,1,Germany
F,3ECB8A,ASW-22 BL,D-KSAS,AS,Y,Y,1,Germany
F,DDA5BD,ASW-19,D-7953,AS,Y,Y,1,Germany
F,3FF5B5,Silent 2 Electro,D-MANS,AS,Y,Y,1,Germany
F,DDFA6B,Pegase,SP-4056,AS,Y,Y,1,Poland
F,3E5E9B,JS-1 C18 Evo,D-KBAH,AS,Y,Y,1,Germany
F,DDFAB5,Pegase,F-CHLO,AS,Y,Y,1,France
F,D02B12,DR-300,F-PTAS,AS,Y,Y,2,France
F,D01446,Silent 2 Electro,D-MANS,AS,Y,Y,1,Germany
F,3E7040,Ventus 3M,D-KHSA,AS,Y,Y,1,Germany
F,DF13E2,Glasflugel 304,D-2559,AS,Y,Y,1,Germany
F,D02573,Duo Discus,D-0018,AS,Y,Y,1,Germany
F,DDFE8E,Astir CS-77,OK-7774,AS,Y,Y,1,Czech Republic
F,D00988,Ka-8,OO-ZAS,AS,Y,Y,1,Belgium
F,D0057A,Akaflieg München Mü17 Merle,D-1740,AS,Y,Y,1,Germany
I,48683B,AS 33Me,PH-1712,AS,Y,Y,1,Netherlands
F,DDA6EE,Std. Astir III,D-6158,AS,Y,Y,1,Germany
F,3E6BDA,SF-25,D-KGAS,AS,Y,Y,1,Germany
I,4B43F3,A 109,HB-ZTB,ASA,Y,Y,4,Switzerland
F,DE0567,A 109,HB-ZTB,ASA,Y,Y,4,Switzerland
F,1118AB,Drone/UAV,ASB-SAR,ASB,Y,Y,5,Unknown
I,A515C0,Twin Astir II,N427BG,ASC,Y,Y,1,United States
F,DDFA6D,Blanik,CC-ASG,ASG,Y,Y,1,Chile
I,C001DC,Cessna 120,C-FASH,ASH,Y,Y,2,Canada
I,4407FA,ASH-26 E,OE-9461,ASH,Y,Y,1,Austria
F,DD9852,ASH-26 E,OE-9461,ASH,Y,Y,1,Austria
F,4B4B07,ASK-21,HB-1632,ASK,Y,Y,1,Switzerland
F,DD9C3D,ASK-21,D-1583,ASK,Y,Y,1,Germany
F,DDDA9F,ASK-21,D-1165,ASK,Y,Y,1,Germany
F,DDE359,ASK-21,OK-9966,ASK,Y,Y,1,Czech Republic
F,C001DF,ASK-21,C-FASK,ASK,Y,Y,1,Canada
F,DDAD05,ASK-21,D-7812,ASK,Y,Y,1,Germany
O,042773,ASK-13,OK-2302,ASK,Y,Y,1,Czech Republic
F,D02B8F,ASK-21,SP-4327,ASK,Y,Y,1,Poland
O,D37F28,UFO,EC-ADSL,ASL,Y,Y,6,Spain
I,C001E3,Cessna 120,C-FASO,ASO,Y,Y,2,Canada
F,DD8656,Astir Jeans,D-2537,AST,Y,Y,1,Germany
F,DD9ABF,Astir CS,OE-5476,AST,Y,Y,1,Austria
F,DD83FA,ASW-15,OE-5370,ASW,Y,Y,1,Austria
F,DDD48E,ASW-15,OK-0540,ASW,Y,Y,1,Czech Republic
F,DDA925,Std. Astir III,D-4540,AT,Y,Y,1,Germany
I,3FF9D0, FK 9 Mark VI,D-MFAT,AT,Y,Y,3,Germany
F,DDA96D,LS-4,D-4246,AT,Y,Y,1,Germany
F,DDA517,DG-300,D-9410,AT,Y,Y,1,Germany
F,DD8378,LS-6 18,F-CKAT,AT,Y,Y,1,France
F,DD9A21,Antares 20 E,D-KAAX,AT,Y,Y,1,Germany
F,DD94BF,Nimbus 2,F-CPAT,AT,Y,Y,1,France
F,4B4B25,LS-4,HB-1662,AT,Y,Y,1,Switzerland
I,4B4E68,Arcus T,HB-2497,AT,Y,Y,1,Switzerland
F,D0085D,ASW-15,OK-1313,AT,Y,Y,1,Czech Republic
F,DDDBE7,Ka-8,OO-ZAT,AT,Y,Y,1,Belgium
F,DF21B3,AS 34Me,N434AT,AT,Y,Y,1,United States
F,3ED8BF,ASG-29E,D-KXAT,AT,Y,Y,1,Germany
F,DDEA9E,Ventus 2CXa,D-9867,AT,Y,Y,1,Germany
F,48495E,ASH-25,F-CUTY,AT,Y,Y,1,France
I,AAF262,Ventus,N804T,AT,Y,Y,1,United States
F,459E98,LAK-17 AT,OY-KKX,AT,Y,Y,1,Denmark
F,DD9C78,Discus,D-8283,AT,Y,Y,1,Germany
F,D01507,Twin Astir I,I-IVAT,AT,Y,Y,1,Italy
F,DDC038,Discus,OH-836,AT,Y,Y,1,Unknown
F,D02D18,Ventus,G-CFEG,AT,Y,Y,1,United Kingdom
F,D031C9,Discus,D-0881,AT,Y,Y,1,Germany
F,DD52BF,Kestrel,LV-DIO,AT,Y,Y,1,Argentina
F,3E766B,Ventus 3T,D-KKAT,AT,Y,Y,1,Germany
F,DDEF31,Ventus 3T,D-KHAT,AT,Y,Y,1,Germany
F,C007BE,SZD-55,C-FCYF,AT,Y,Y,1,Canada
O,FD05C8,Arcus T,JA-22AT,AT,Y,Y,1,Japan
I,C001FE,Cessna 172,C-FATP,ATP,Y,Y,2,Canada
F,D00407,Aero Boero 180,LV-ATT,ATT,Y,Y,2,Argentina
I,C00204,Cessna 172,C-FATV,ATV,Y,Y,2,Canada
I,4408E6,Cessna 152,OE-ATX,ATX,Y,Y,2,Austria
I,C00208,Cessna 120,C-FATZ,ATZ,Y,Y,2,Canada
F,DD9280,SF-25,G-KIAU,AU,Y,Y,1,United Kingdom
F,DDC22E,Ka-8,D-2945,AU,Y,Y,1,Germany
O,062323,Astir CS,OK-1337,AU,Y,Y,1,Czech Republic
F,D0037E,ASW-19,D-6531,AU,Y,Y,1,Germany
F,DDDA61,Apis 2,F-JTAU,AU,Y,Y,1,France
F,DDAFF3,Janus B,F-CFAU,AU,Y,Y,1,France
I,4B499B,Libelle Club,HB-1268,AU,Y,Y,1,Switzerland
F,DDA37D,SF-25,D-KNAU,AU,Y,Y,1,Germany
F,406BF0,SF-25,G-KIAU,AU,Y,Y,1,United Kingdom
F,D028C8,LS-8,OK-9105,AU,Y,Y,1,Czech Republic
F,7C02EC,JS-3 18M RES,VH-AU2,AU2,Y,Y,1,Australia
O,39599C,Skylane Airlony,F-JAUJ,AUJ,Y,Y,3,France
F,D02B1A,ASW-24,D-2482,AUL,Y,Y,1,Germany
F,484AE1,Discus bT,PH-1029,AV,Y,Y,1,Netherlands
F,DD9E23,MS-893 Commodore,F-BVAV,AV,Y,Y,2,France
F,D02C28,Taurus,LY-NAV,AV,Y,Y,1,Lithuania
F,3E5CD5,Arcus M,D-KAIV,AV,Y,Y,1,Germany
F,F70464,ASK-21,D-9392,AV,Y,Y,1,Germany
F,DDA848,ASK-21,D-9392,AV,Y,Y,1,Germany
F,DDE23F,SF-25,SE-UAV,AV,Y,Y,1,Sweden
F,DDFAF5,Midour,F-PVAV,AV,Y,Y,2,France
F,DDA5E8,Kestrel,D-7423,AV,Y,Y,1,Germany
F,DF0E4B,Cirrus Std,D-3691,AV,Y,Y,1,Germany
F,44016E,DR-400,OE-DFO,AV1,Y,Y,2,Austria
F,DDA978,Janus B,OE-5500,AV2,Y,Y,1,Austria
F,DCD0D1,MDM-1 Fox,OK-1213,AV3,Y,Y,1,Czech Republic
F,DD8EF4,ASW-27,G-CKBX,AV8,Y,Y,1,United Kingdom
I,A22ED1,Zuni II,N24MZ,AV8,Y,Y,1,United States
F,A08E6B,Carat,N135GS,AV8,Y,Y,1,United States
F,000991,Carat,N135GS,AV8,Y,Y,1,United States
F,DF26EB,LS-7,D-6414,AVA,Y,Y,1,Germany
F,C0022E,PA-25 Pawnee,C-GAVL,AVL,Y,Y,2,Canada
F,DD8AB5,Twin Astir I,I-IVAC,AVS,Y,Y,1,Italy
F,DD85C6,ASK-16,D-KAVT,AVT,Y,Y,1,Germany
F,DDD4AC,Duo Discus,F-CAVT,AVT,Y,Y,1,France
I,486A2A,DR-400,PH-AVV,AVV,Y,Y,2,Netherlands
F,DDAB74,ASW-15,D-8665,AW,Y,Y,1,Germany
F,D00A07,Ventus,D-3188,AW,Y,Y,1,Germany
F,D00A26,Libelle Std,D-2951,AW,Y,Y,1,Germany
F,D00BCF,ASH-26 E,D-KRAW,AW,Y,Y,1,Germany
F,DD85EC,Janus A,D-7336,AW,Y,Y,1,Germany
F,D01F05,ASW-20,D-1731,AW,Y,Y,1,Germany
F,D00C84,PA-25 Pawnee,OO-PAW,AW,Y,Y,2,Belgium
F,3EC3A2,ASH-31 MI,D-KPAW,AW,Y,Y,1,Germany
F,D0195A,Twin Astir I,OE-5660,AW,Y,Y,1,Austria
F,3ED8C2,JS-3 18M,D-KXAW,AW,Y,Y,1,Germany
F,DDA481,Ka-8,OO-ZAW,AW,Y,Y,1,Belgium
I,C82934,Mosquito,ZK-GAW,AW,Y,Y,1,New Zealand
F,602086,ASW-20,D-8868,AW,Y,Y,1,Germany
F,CCD6C3,ASH-31 MI,D-KAZA,AW,Y,Y,1,Germany
O,C5B21C,Balloon,SP-BTE,AW,Y,Y,6,Poland
I,4B51CA,ASW-28,HB-3363,AW,Y,Y,1,Switzerland
F,DDEE67,Duo Discus t,CC-AAW,AW,Y,Y,1,Chile
F,DDDF8B,Mosquito,D-7682,AW,Y,Y,1,Germany
F,DDFA40,Piccolo B,D-KTAW,AW,Y,Y,3,Germany
F,DDBC60,Ventus ct,OK-0456,AW,Y,Y,1,Czech Republic
O,6963C8,Duo Discus t,CC-AAW,AW,Y,Y,1,Chile
F,DDA628,LS-3,D-2825,AW,Y,Y,1,Germany
F,D0202E,Discus 2cFES,D-KKAW,AW,Y,Y,1,Germany
F,DDF0E6,ASH-31 MI,D-KAZA,AW,Y,Y,1,Germany
F,485B08,Cessna 172,PH-AWB,AWB,Y,Y,2,Netherlands
O,404140,Yak-12,SP-AWG,AWG,Y,Y,2,Poland
I,C00244,Cessna 120,C-FAWH,AWH,Y,Y,2,Canada
O,EFDC75,SZD-50 Puchacz,SP-3204,AWR,Y,Y,1,Poland
F,DDA678,Tetra-15,F-JCAX,AX,Y,Y,3,France
F,DDA4B3,DG-1000,D-1073,AX,Y,Y,1,Germany
F,38B61B,Discus 2,F-CPFV,AX,Y,Y,1,France
F,DDDEB0,Ventus 2CXa,D-4975,AX,Y,Y,1,Germany
F,D02580,DR-400,I-ITAX,AX,Y,Y,2,Italy
F,D01F8A,Duo Discus xlt,D-KTAX,AX,Y,Y,1,Germany
F,A1DF2B,Cirrus Std,N22FF,AX,Y,Y,1,United States
F,DDA468,DG-1000,D-1073,AX,Y,Y,1,Germany
F,DD896D,Ventus ct,PH-1118,AX,Y,Y,1,Netherlands
F,DDB0F0,Zugvogel IIIb,F-CCAX,AX,Y,Y,1,France
F,3E5241,ASW-24,D-5241,AX,Y,Y,1,Germany
F,DDB060,ASK-13,F-CEAX,AX,Y,Y,1,France
F,DDF0EE,JS-3 18M,D-KSTM,AX,Y,Y,1,Germany
F,DD86BC,WT9 Dynamic,D-MHAX,AX,Y,Y,3,Germany
F,DDAD8C,LS-4,D-0171,AX,Y,Y,1,Germany
F,3ED9E4,JS-3 18M RES,D-KXMA,AX,Y,Y,1,Germany
F,DD9549,RF 5 b,D-KCAX,AX,Y,Y,1,Germany
F,DD8625,Astir CS,OK-5087,AX,Y,Y,1,Czech Republic
F,DDEC9E,Arcus M,HB-2482,AX,Y,Y,1,Switzerland
F,D0F0EE,JS-3 18M,D-KJTM,AX,Y,Y,1,Germany
F,DDEFB9,Ventus 2,OK-0007,AX,Y,Y,1,Czech Republic
F,4B49FB,Supermarine Spitfire,G-FLAX,AX,Y,Y,2,United Kingdom
F,3E693B,Arcus T,D-KFAX,AX,Y,Y,1,Germany
I,3EC3A3,Arcus M,D-KPAX,AX,Y,Y,1,Germany
F,4B4E29,DG-808 C,HB-2434,AXA,Y,Y,1,Switzerland
I,ACCB5F,Arcus M,N923XC,AXC,Y,Y,1,United States
F,DDEDB0,Discus 2,OY-ZAX,AXI,Y,Y,1,Denmark
F,3D6F6A,Cessna 208,D-FOLE,AXL,Y,Y,2,Germany
F,D006B5,DG-400,D-KPPP,AY,Y,Y,1,Germany
F,3E7670,Ventus 3M,D-KKAY,AY,Y,Y,1,Germany
F,DD856D,Astir CS,OK-6622,AY,Y,Y,1,Czech Republic
F,DD9F98,Cirrus Std,OK-1149,AY,Y,Y,1,Czech Republic
I,3E5E6F,ASG-29E,D-KAYP,AY,Y,Y,1,Germany
F,3EE710,ASW-20,D-1657,AY,Y,Y,1,Germany
F,DF0A6A,ASG-29E,D-KAYP,AY,Y,Y,1,Germany
F,DF22D5,PIK-20 B,VH-GAY,AY,Y,Y,1,Australia
F,D00FCE,HPH 304S Shark,D-KBAY,AY,Y,Y,1,Germany
F,DDA41E,DG-505,D-6505,AY,Y,Y,1,Germany
F,3EC3A4,Arcus T,D-KPAY,AY,Y,Y,1,Germany
F,DDEB57,Ventus 2CXa,D-4620,AY,Y,Y,1,Germany
I,7C1E78,PIK-20 B,VH-GAY,AY,Y,Y,1,Australia
F,DD9C58,Discus t,OE-9378,AY,Y,Y,1,Austria
I,3EFC67,ASG-29E,D-KAYP,AY,Y,Y,1,Germany
F,DDD41B,Pegase,F-CGNX,AY,Y,Y,1,France
F,DDF0B8,Discus 2,D-8382,AY,Y,Y,1,Germany
F,3FEA71,WT9 Dynamic,D-MDYA,AYA,Y,Y,3,Germany
O,548B27,Gyrocopter,HA-GYL,AYR,Y,Y,3,Hungary
O,414E0F,Astir CS-77,SP-4025,AZ,Y,Y,1,Poland
F,DD88E8,Astir CS,D-7449,AZ,Y,Y,1,Germany
F,3FF3B8,WT9 Dynamic,D-MRAZ,AZ,Y,Y,3,Germany
F,DD502C,Astir CS-77,SP-4025,AZ,Y,Y,1,Poland
F,D01473,ASW-20,D-2812,AZ,Y,Y,1,Germany
I,3D21CD,DR-300,D-ELAZ,AZ,Y,Y,2,Germany
I,4AD545,PIK-20 B,SE-UJE,AZ,Y,Y,1,Sweden
I,A32E46,HPH 304CZ-17,N304AZ,AZ,Y,Y,1,United States
F,DD93F8,Discus,D-4321,AZ,Y,Y,1,Germany
F,D003CF,HK36 Super Dimona,D-KWAZ,AZ,Y,Y,1,Germany
F,DDAEA7,Astir CS,OK-7225,AZ,Y,Y,1,Czech Republic
F,D00A7E,DG-1001 M,D-KRAZ,AZ,Y,Y,1,Germany
F,D02ADA,DG-1001 M,D-KRAZ,AZ,Y,Y,1,Germany
F,DDAA09,SF-25,D-XXAZ,AZ,Y,Y,1,Germany
I,A190C4,Ventus,N20MG,AZ,Y,Y,1,United States
F,DDDB9B,SZD-51 Junior,SP-3379,AZ,Y,Y,1,Poland
